Time,X1,X2
0,50,50
1,92,38
2,142,39
3,225,33
4,352,53
5,477,121
6,492,314
7,250,587
8,72,636
9,31,532
10,8,407
11,6,309
12,7,223
13,7,168
14,7,125
15,10,94
16,13,73
17,18,53
18,29,34
19,58,30
20,101,28
21,161,24
22,264,32
23,378,48
24,510,106
25,529,322
26,276,612
27,64,703
28,15,572
29,10,441
30,9,335
31,5,247
32,3,190
33,2,148
34,3,105
35,3,84
36,4,58
37,3,41
38,5,30
39,8,25
40,16,21
