Time,X
0,250
0.1,239
0.2,243
0.3,222
0.4,213
0.5,210
0.6,233
0.7,231
0.8,207
0.9,208
1,183
1.1,154
1.2,155
1.3,156
1.4,148
1.5,133
1.6,126
1.7,125
1.8,117
1.9,117
2,116
2.1,124
2.2,121
2.3,122
2.4,112
2.5,104
2.6,123
2.7,103
2.8,99
2.9,92
3,84
3.1,101
3.2,93
3.3,99
3.4,93
3.5,90
3.6,87
3.7,84
3.8,83
3.9,94
4,92
4.1,92
4.2,82
4.3,80
4.4,87
4.5,83
4.6,76
4.7,72
4.8,64
4.9,70
5,65
