"Time","X"
0.0,250
0.05,235
0.1,215
0.15,212
0.2,226
0.25,229
0.3,224
0.35,208
0.4,218
0.45,209
0.5,189
0.55,176
0.6,164
0.65,169
0.7,166
0.75,153
0.8,155
0.85,155
0.9,150
0.95,141
1.0,142
1.05,135
1.1,125
1.15,123
1.2,123
1.25,122
1.3,116
1.35,111
1.4,103
1.45,88
1.5,96
1.55,94
1.6,86
1.65,82
1.7,82
1.75,91
1.8,85
1.85,78
1.9,76
1.95,78
2.0,76
2.05,77
2.1,73
2.15,81
2.2,87
2.25,90
2.3,96
2.35,97
2.4,86
2.45,90
2.5,90
2.55,94
2.6,91
2.65,96
2.7,92
2.75,95
2.8,90
2.85,96
2.9,101
2.95,96
3.0,104
3.05,109
3.1,105
3.15,94
3.2,93
3.25,92
3.3,96
3.35,97
3.4,95
3.45,92
3.5,88
3.55,84
3.6,85
3.65,79
3.7,81
3.75,85
3.8,79
3.85,84
3.9,79
3.95,76
4.0,77
4.05,74
4.1,71
4.15,72
4.2,74
4.25,72
4.3,70
4.35,78
4.4,78
4.45,68
4.5,75
4.55,69
4.6,80
4.65,84
4.7,90
4.75,89
4.8,89
4.85,83
4.9,87
4.95,83
5.0,78
