"Time","X"
0.0,250
0.05,257
0.1,262
0.15,271
0.2,279
0.25,259
0.3,256
0.35,242
0.4,237
0.45,240
0.5,231
0.55,224
0.6,227
0.65,235
0.7,230
0.75,215
0.8,217
0.85,199
0.9,196
0.95,192
1.0,203
1.05,193
1.1,187
1.15,187
1.2,190
1.25,182
1.3,191
1.35,200
1.4,200
1.45,209
1.5,205
1.55,214
1.6,219
1.65,216
1.7,205
1.75,212
1.8,199
1.85,232
1.9,227
1.95,218
2.0,197
2.05,188
2.1,183
2.15,190
2.2,193
2.25,200
2.3,198
2.35,194
2.4,194
2.45,180
2.5,179
2.55,179
2.6,180
2.65,167
2.7,167
2.75,159
2.8,156
2.85,144
2.9,143
2.95,154
3.0,153
3.05,148
3.1,152
3.15,144
3.2,142
3.25,141
3.3,136
3.35,141
3.4,137
3.45,140
3.5,131
3.55,139
3.6,130
3.65,123
3.7,133
3.75,130
3.8,136
3.85,129
3.9,117
3.95,121
4.0,114
4.05,107
4.1,100
4.15,96
4.2,103
4.25,99
4.3,103
4.35,98
4.4,98
4.45,96
4.5,107
4.55,108
4.6,109
4.65,111
4.7,114
4.75,124
4.8,120
4.85,114
4.9,112
4.95,119
5.0,106
