Time,X
0,250
0.05,276
0.1,273
0.15,276
0.2,273
0.25,265
0.3,237
0.35,244
0.4,234
0.45,228
0.5,222
0.55,211
0.6,209
0.65,199
0.7,201
0.75,196
0.8,190
0.85,205
0.9,202
0.95,200
1,206
1.05,202
1.1,191
1.15,203
1.2,218
1.25,227
1.3,232
1.35,230
1.4,227
1.45,219
1.5,211
1.55,218
1.6,202
1.65,193
1.7,192
1.75,187
1.8,179
1.85,173
1.9,188
1.95,185
2,189
2.05,170
2.1,159
2.15,145
2.2,142
2.25,143
2.3,141
2.35,139
2.4,132
2.45,124
2.5,112
2.55,111
2.6,108
2.65,119
2.7,105
2.75,108
2.8,107
2.85,103
2.9,101
2.95,98
3,87
3.05,86
3.1,85
3.15,79
3.2,77
3.25,79
3.3,85
3.35,77
3.4,83
3.45,80
3.5,81
3.55,83
3.6,78
3.65,80
3.7,78
3.75,79
3.8,82
3.85,86
3.9,85
3.95,85
4,88
4.05,83
4.1,87
4.15,90
4.2,95
4.25,96
4.3,96
4.35,101
4.4,95
4.45,94
4.5,95
4.55,91
4.6,88
4.65,96
4.7,105
4.75,104
4.8,88
4.85,94
4.9,94
4.95,94
5,96
