Time,X
0,250
0.05,253
0.1,231
0.15,234
0.2,230
0.25,236
0.3,239
0.35,261
0.4,256
0.45,251
0.5,240
0.55,223
0.6,218
0.65,210
0.7,219
0.75,215
0.8,222
0.85,215
0.9,226
0.95,228
1,236
1.05,241
1.1,256
1.15,248
1.2,251
1.25,249
1.3,233
1.35,245
1.4,234
1.45,230
1.5,218
1.55,225
1.6,226
1.65,231
1.7,231
1.75,229
1.8,229
1.85,212
1.9,216
1.95,205
2,201
2.05,208
2.1,220
2.15,229
2.2,230
2.25,219
2.3,218
2.35,205
2.4,202
2.45,203
2.5,193
2.55,188
2.6,180
2.65,190
2.7,201
2.75,191
2.8,172
2.85,181
2.9,184
2.95,187
3,189
3.05,186
3.1,177
3.15,179
3.2,177
3.25,186
3.3,183
3.35,178
3.4,179
3.45,178
3.5,187
3.55,198
3.6,223
3.65,223
3.7,231
3.75,248
3.8,239
3.85,218
3.9,198
3.95,199
4,201
4.05,204
4.1,193
4.15,175
4.2,158
4.25,166
4.3,170
4.35,163
4.4,160
4.45,152
4.5,143
4.55,142
4.6,136
4.65,134
4.7,123
4.75,131
4.8,126
4.85,123
4.9,125
4.95,109
5,108
