Time,X
0,250
0.05,247
0.1,283
0.15,272
0.2,262
0.25,254
0.3,265
0.35,239
0.4,258
0.45,274
0.5,278
0.55,291
0.6,281
0.65,264
0.7,269
0.75,261
0.8,250
0.85,239
0.9,247
0.95,242
1,231
1.05,221
1.1,226
1.15,230
1.2,224
1.25,234
1.3,235
1.35,236
1.4,213
1.45,208
1.5,219
1.55,203
1.6,198
1.65,182
1.7,184
1.75,167
1.8,155
1.85,162
1.9,144
1.95,140
2,134
2.05,128
2.1,135
2.15,120
2.2,125
2.25,130
2.3,122
2.35,123
2.4,106
2.45,104
2.5,98
2.55,90
2.6,93
2.65,102
2.7,100
2.75,103
2.8,102
2.85,103
2.9,119
2.95,107
3,106
3.05,105
3.1,101
3.15,93
3.2,92
3.25,94
3.3,90
3.35,93
3.4,85
3.45,79
3.5,78
3.55,72
3.6,73
3.65,67
3.7,66
3.75,62
3.8,63
3.85,62
3.9,70
3.95,70
4,73
4.05,68
4.1,74
4.15,84
4.2,90
4.25,93
4.3,99
4.35,109
4.4,105
4.45,103
4.5,100
4.55,102
4.6,101
4.65,102
4.7,92
4.75,95
4.8,92
4.85,92
4.9,83
4.95,85
5,87
