"Time","X"
0.0,250
0.05,265
0.1,269
0.15,285
0.2,299
0.25,307
0.3,294
0.35,292
0.4,293
0.45,300
0.5,294
0.55,281
0.6,273
0.65,278
0.7,278
0.75,255
0.8,271
0.85,261
0.9,269
0.95,269
1.0,278
1.05,271
1.1,278
1.15,278
1.2,281
1.25,274
1.3,267
1.35,271
1.4,277
1.45,278
1.5,289
1.55,297
1.6,304
1.65,312
1.7,300
1.75,313
1.8,309
1.85,294
1.9,289
1.95,310
2.0,310
2.05,335
2.1,349
2.15,360
2.2,335
2.25,330
2.3,354
2.35,355
2.4,383
2.45,379
2.5,385
2.55,416
2.6,398
2.65,381
2.7,394
2.75,406
2.8,388
2.85,387
2.9,395
2.95,407
3.0,426
3.05,452
3.1,457
3.15,448
3.2,412
3.25,403
3.3,425
3.35,460
3.4,443
3.45,433
3.5,448
3.55,446
3.6,426
3.65,433
3.7,455
3.75,473
3.8,466
3.85,493
3.9,510
3.95,531
4.0,551
4.05,538
4.1,577
4.15,575
4.2,563
4.25,587
4.3,597
4.35,553
4.4,521
4.45,501
4.5,496
4.55,502
4.6,517
4.65,531
4.7,528
4.75,570
4.8,583
4.85,560
4.9,555
4.95,595
5.0,606
