"Time","X"
0.0,250
0.05,266
0.1,257
0.15,268
0.2,268
0.25,257
0.3,245
0.35,240
0.4,230
0.45,230
0.5,227
0.55,214
0.6,215
0.65,223
0.7,198
0.75,213
0.8,234
0.85,240
0.9,213
0.95,201
1.0,211
1.05,213
1.1,200
1.15,198
1.2,188
1.25,194
1.3,193
1.35,192
1.4,206
1.45,216
1.5,211
1.55,216
1.6,213
1.65,203
1.7,214
1.75,214
1.8,217
1.85,209
1.9,207
1.95,194
2.0,199
2.05,189
2.1,177
2.15,184
2.2,177
2.25,172
2.3,174
2.35,185
2.4,169
2.45,166
2.5,159
2.55,155
2.6,149
2.65,148
2.7,140
2.75,120
2.8,113
2.85,111
2.9,114
2.95,112
3.0,102
3.05,106
3.1,98
3.15,100
3.2,109
3.25,111
3.3,113
3.35,116
3.4,113
3.45,109
3.5,111
3.55,109
3.6,112
3.65,102
3.7,95
3.75,97
3.8,98
3.85,96
3.9,98
3.95,103
4.0,97
4.05,97
4.1,102
4.15,92
4.2,105
4.25,91
4.3,92
4.35,89
4.4,87
4.45,72
4.5,78
4.55,78
4.6,80
4.65,80
4.7,68
4.75,71
4.8,72
4.85,76
4.9,73
4.95,71
5.0,70
