"Time","X"
0.0,250
0.05,242
0.1,242
0.15,240
0.2,240
0.25,247
0.3,251
0.35,252
0.4,249
0.45,233
0.5,226
0.55,217
0.6,193
0.65,179
0.7,178
0.75,172
0.8,173
0.85,163
0.9,154
0.95,154
1.0,149
1.05,155
1.1,161
1.15,150
1.2,147
1.25,144
1.3,141
1.35,126
1.4,116
1.45,111
1.5,109
1.55,110
1.6,102
1.65,96
1.7,88
1.75,92
1.8,88
1.85,84
1.9,83
1.95,92
2.0,87
2.05,91
2.1,102
2.15,100
2.2,101
2.25,97
2.3,98
2.35,111
2.4,109
2.45,105
2.5,116
2.55,124
2.6,124
2.65,120
2.7,113
2.75,108
2.8,108
2.85,118
2.9,110
2.95,116
3.0,112
3.05,110
3.1,106
3.15,96
3.2,99
3.25,87
3.3,95
3.35,97
3.4,97
3.45,101
3.5,89
3.55,81
3.6,76
3.65,85
3.7,86
3.75,84
3.8,82
3.85,81
3.9,89
3.95,78
4.0,82
4.05,74
4.1,73
4.15,80
4.2,78
4.25,90
4.3,90
4.35,94
4.4,98
4.45,100
4.5,96
4.55,88
4.6,84
4.65,85
4.7,79
4.75,77
4.8,83
4.85,78
4.9,72
4.95,76
5.0,69
