"Time","X"
0.0,250
0.05,242
0.1,236
0.15,247
0.2,250
0.25,248
0.3,242
0.35,227
0.4,221
0.45,227
0.5,222
0.55,194
0.6,183
0.65,175
0.7,170
0.75,161
0.8,177
0.85,164
0.9,160
0.95,158
1.0,154
1.05,153
1.1,137
1.15,135
1.2,117
1.25,119
1.3,111
1.35,111
1.4,111
1.45,113
1.5,116
1.55,121
1.6,122
1.65,122
1.7,128
1.75,114
1.8,117
1.85,114
1.9,113
1.95,113
2.0,111
2.05,122
2.1,113
2.15,106
2.2,100
2.25,105
2.3,116
2.35,115
2.4,112
2.45,130
2.5,130
2.55,146
2.6,140
2.65,127
2.7,131
2.75,130
2.8,131
2.85,114
2.9,107
2.95,116
3.0,111
3.05,102
3.1,109
3.15,103
3.2,100
3.25,101
3.3,99
3.35,99
3.4,104
3.45,114
3.5,104
3.55,98
3.6,102
3.65,100
3.7,94
3.75,92
3.8,91
3.85,84
3.9,90
3.95,88
4.0,88
4.05,92
4.1,91
4.15,95
4.2,94
4.25,101
4.3,93
4.35,95
4.4,100
4.45,101
4.5,109
4.55,100
4.6,107
4.65,106
4.7,97
4.75,97
4.8,93
4.85,86
4.9,88
4.95,82
5.0,88
