"Time","X"
0.0,250
0.05,254
0.1,240
0.15,243
0.2,244
0.25,240
0.3,249
0.35,258
0.4,270
0.45,284
0.5,294
0.55,298
0.6,283
0.65,269
0.7,241
0.75,254
0.8,270
0.85,296
0.9,323
0.95,310
1.0,305
1.05,304
1.1,305
1.15,304
1.2,291
1.25,295
1.3,298
1.35,290
1.4,281
1.45,269
1.5,276
1.55,274
1.6,271
1.65,281
1.7,272
1.75,279
1.8,279
1.85,307
1.9,294
1.95,300
2.0,303
2.05,283
2.1,302
2.15,296
2.2,283
2.25,300
2.3,311
2.35,316
2.4,316
2.45,310
2.5,308
2.55,296
2.6,283
2.65,293
2.7,294
2.75,281
2.8,272
2.85,277
2.9,273
2.95,280
3.0,278
3.05,278
3.1,269
3.15,271
3.2,280
3.25,278
3.3,264
3.35,266
3.4,265
3.45,279
3.5,290
3.55,300
3.6,310
3.65,342
3.7,346
3.75,351
3.8,373
3.85,412
3.9,406
3.95,406
4.0,427
4.05,422
4.1,434
4.15,418
4.2,415
4.25,436
4.3,433
4.35,444
4.4,468
4.45,487
4.5,482
4.55,482
4.6,493
4.65,495
4.7,486
4.75,475
4.8,458
4.85,475
4.9,499
4.95,505
5.0,463
