"Time","X"
0.0,250
0.05,242
0.1,249
0.15,261
0.2,267
0.25,276
0.3,269
0.35,285
0.4,294
0.45,281
0.5,265
0.55,263
0.6,274
0.65,276
0.7,270
0.75,272
0.8,262
0.85,264
0.9,267
0.95,263
1.0,256
1.05,273
1.1,255
1.15,250
1.2,245
1.25,265
1.3,268
1.35,261
1.4,267
1.45,260
1.5,270
1.55,270
1.6,297
1.65,293
1.7,272
1.75,288
1.8,304
1.85,294
1.9,285
1.95,305
2.0,302
2.05,288
2.1,292
2.15,298
2.2,315
2.25,330
2.3,321
2.35,320
2.4,313
2.45,310
2.5,322
2.55,307
2.6,281
2.65,293
2.7,291
2.75,291
2.8,289
2.85,292
2.9,294
2.95,276
3.0,298
3.05,299
3.1,281
3.15,285
3.2,297
3.25,292
3.3,289
3.35,285
3.4,285
3.45,289
3.5,290
3.55,289
3.6,289
3.65,270
3.7,284
3.75,292
3.8,295
3.85,294
3.9,279
3.95,275
4.0,274
4.05,278
4.1,278
4.15,274
4.2,298
4.25,292
4.3,298
4.35,285
4.4,299
4.45,283
4.5,270
4.55,259
4.6,258
4.65,260
4.7,277
4.75,279
4.8,306
4.85,329
4.9,320
4.95,355
5.0,363
