"Time","X"
0.0,250
0.05,226
0.1,225
0.15,218
0.2,207
0.25,208
0.3,214
0.35,209
0.4,205
0.45,202
0.5,188
0.55,200
0.6,184
0.65,203
0.7,194
0.75,196
0.8,189
0.85,193
0.9,191
0.95,206
1.0,208
1.05,210
1.1,204
1.15,203
1.2,195
1.25,189
1.3,180
1.35,172
1.4,175
1.45,182
1.5,176
1.55,179
1.6,180
1.65,165
1.7,158
1.75,143
1.8,144
1.85,139
1.9,147
1.95,137
2.0,148
2.05,142
2.1,150
2.15,153
2.2,155
2.25,158
2.3,154
2.35,145
2.4,150
2.45,138
2.5,145
2.55,145
2.6,156
2.65,161
2.7,163
2.75,173
2.8,176
2.85,177
2.9,172
2.95,157
3.0,163
3.05,167
3.1,163
3.15,162
3.2,151
3.25,144
3.3,129
3.35,125
3.4,120
3.45,119
3.5,117
3.55,117
3.6,117
3.65,116
3.7,117
3.75,115
3.8,116
3.85,118
3.9,114
3.95,122
4.0,120
4.05,121
4.1,120
4.15,123
4.2,113
4.25,117
4.3,121
4.35,124
4.4,118
4.45,110
4.5,111
4.55,114
4.6,120
4.65,118
4.7,122
4.75,129
4.8,138
4.85,123
4.9,119
4.95,117
5.0,114
