"Time","X"
0.0,250
0.05,281
0.1,275
0.15,267
0.2,250
0.25,246
0.3,242
0.35,233
0.4,236
0.45,236
0.5,216
0.55,216
0.6,220
0.65,230
0.7,261
0.75,262
0.8,283
0.85,277
0.9,278
0.95,287
1.0,296
1.05,305
1.1,305
1.15,315
1.2,318
1.25,319
1.3,337
1.35,336
1.4,361
1.45,366
1.5,367
1.55,387
1.6,373
1.65,399
1.7,401
1.75,420
1.8,421
1.85,391
1.9,385
1.95,377
2.0,382
2.05,387
2.1,391
2.15,395
2.2,402
2.25,407
2.3,395
2.35,399
2.4,405
2.45,390
2.5,421
2.55,447
2.6,479
2.65,508
2.7,533
2.75,537
2.8,513
2.85,519
2.9,567
2.95,568
3.0,610
3.05,601
3.1,583
3.15,608
3.2,648
3.25,634
3.3,621
3.35,623
3.4,596
3.45,599
3.5,556
3.55,608
3.6,581
3.65,573
3.7,592
3.75,590
3.8,601
3.85,652
3.9,619
3.95,604
4.0,617
4.05,622
4.1,582
4.15,567
4.2,612
4.25,630
4.3,609
4.35,606
4.4,628
4.45,612
4.5,591
4.55,555
4.6,579
4.65,581
4.7,575
4.75,585
4.8,561
4.85,560
4.9,540
4.95,574
5.0,609
