Time,X
0,250
0.05,252
0.1,241
0.15,251
0.2,262
0.25,271
0.3,271
0.35,266
0.4,236
0.45,218
0.5,231
0.55,222
0.6,224
0.65,218
0.7,219
0.75,204
0.8,203
0.85,202
0.9,217
0.95,216
1,215
1.05,209
1.1,217
1.15,222
1.2,228
1.25,223
1.3,226
1.35,221
1.4,223
1.45,233
1.5,228
1.55,224
1.6,224
1.65,225
1.7,249
1.75,241
1.8,232
1.85,244
1.9,242
1.95,247
2,237
2.05,234
2.1,232
2.15,223
2.2,189
2.25,192
2.3,190
2.35,170
2.4,167
2.45,170
2.5,148
2.55,137
2.6,138
2.65,127
2.7,136
2.75,130
2.8,133
2.85,122
2.9,115
2.95,108
3,109
3.05,98
3.1,102
3.15,98
3.2,94
3.25,95
3.3,90
3.35,101
3.4,103
3.45,101
3.5,102
3.55,104
3.6,113
3.65,120
3.7,118
3.75,123
3.8,128
3.85,139
3.9,154
3.95,156
4,164
4.05,164
4.1,174
4.15,178
4.2,164
4.25,167
4.3,158
4.35,156
4.4,155
4.45,141
4.5,142
4.55,137
4.6,134
4.65,141
4.7,134
4.75,137
4.8,144
4.85,131
4.9,131
4.95,128
5,118
