"Time","X"
0.0,250
0.05,249
0.1,256
0.15,260
0.2,265
0.25,282
0.3,294
0.35,290
0.4,290
0.45,282
0.5,289
0.55,281
0.6,287
0.65,292
0.7,313
0.75,303
0.8,289
0.85,284
0.9,283
0.95,296
1.0,294
1.05,298
1.1,282
1.15,288
1.2,286
1.25,264
1.3,284
1.35,289
1.4,280
1.45,292
1.5,323
1.55,296
1.6,291
1.65,319
1.7,328
1.75,360
1.8,359
1.85,354
1.9,353
1.95,339
2.0,371
2.05,395
2.1,417
2.15,405
2.2,417
2.25,393
2.3,414
2.35,434
2.4,500
2.45,527
2.5,528
2.55,504
2.6,519
2.65,504
2.7,526
2.75,501
2.8,513
2.85,536
2.9,539
2.95,579
3.0,586
3.05,579
3.1,592
3.15,573
3.2,581
3.25,586
3.3,581
3.35,563
3.4,596
3.45,583
3.5,545
3.55,536
3.6,516
3.65,530
3.7,563
3.75,572
3.8,584
3.85,584
3.9,574
3.95,540
4.0,568
4.05,591
4.1,560
4.15,553
4.2,569
4.25,525
4.3,535
4.35,484
4.4,494
4.45,516
4.5,538
4.55,542
4.6,551
4.65,534
4.7,544
4.75,556
4.8,505
4.85,531
4.9,508
4.95,519
5.0,511
