"Time","X"
0.0,250
0.05,257
0.1,257
0.15,284
0.2,279
0.25,280
0.3,294
0.35,291
0.4,309
0.45,322
0.5,337
0.55,344
0.6,347
0.65,354
0.7,359
0.75,379
0.8,347
0.85,363
0.9,357
0.95,356
1.0,381
1.05,405
1.1,422
1.15,419
1.2,404
1.25,444
1.3,428
1.35,442
1.4,433
1.45,460
1.5,487
1.55,515
1.6,482
1.65,506
1.7,492
1.75,499
1.8,549
1.85,579
1.9,529
1.95,508
2.0,519
2.05,514
2.1,538
2.15,533
2.2,552
2.25,503
2.3,513
2.35,548
2.4,554
2.45,504
2.5,501
2.55,509
2.6,512
2.65,493
2.7,470
2.75,468
2.8,447
2.85,441
2.9,441
2.95,446
3.0,432
3.05,422
3.1,419
3.15,421
3.2,427
3.25,402
3.3,417
3.35,410
3.4,450
3.45,445
3.5,464
3.55,444
3.6,455
3.65,457
3.7,465
3.75,496
3.8,477
3.85,486
3.9,492
3.95,491
4.0,506
4.05,517
4.1,496
4.15,474
4.2,484
4.25,515
4.3,532
4.35,520
4.4,504
4.45,498
4.5,473
4.55,495
4.6,502
4.65,499
4.7,538
4.75,551
4.8,536
4.85,527
4.9,533
4.95,513
5.0,510
