Time,X
0,250
0.05,244
0.1,231
0.15,221
0.2,220
0.25,208
0.3,200
0.35,207
0.4,206
0.45,213
0.5,205
0.55,202
0.6,202
0.65,204
0.7,197
0.75,194
0.8,200
0.85,207
0.9,207
0.95,207
1,212
1.05,214
1.1,211
1.15,213
1.2,196
1.25,185
1.3,188
1.35,188
1.4,183
1.45,196
1.5,192
1.55,189
1.6,187
1.65,170
1.7,159
1.75,164
1.8,162
1.85,164
1.9,161
1.95,154
2,131
2.05,132
2.1,125
2.15,111
2.2,110
2.25,118
2.3,113
2.35,110
2.4,102
2.45,103
2.5,93
2.55,103
2.6,86
2.65,82
2.7,82
2.75,71
2.8,82
2.85,82
2.9,79
2.95,100
3,107
3.05,106
3.1,100
3.15,99
3.2,96
3.25,94
3.3,95
3.35,92
3.4,85
3.45,85
3.5,80
3.55,78
3.6,75
3.65,80
3.7,77
3.75,76
3.8,74
3.85,82
3.9,75
3.95,76
4,82
4.05,85
4.1,76
4.15,65
4.2,63
4.25,63
4.3,65
4.35,66
4.4,70
4.45,66
4.5,63
4.55,65
4.6,62
4.65,57
4.7,66
4.75,66
4.8,63
4.85,75
4.9,75
4.95,75
5,70
