Time,X
0,250
0.05,240
0.1,240
0.15,231
0.2,224
0.25,210
0.3,198
0.35,195
0.4,187
0.45,190
0.5,191
0.55,180
0.6,180
0.65,166
0.7,159
0.75,166
0.8,162
0.85,155
0.9,165
0.95,151
1,146
1.05,146
1.1,147
1.15,136
1.2,122
1.25,118
1.3,114
1.35,109
1.4,101
1.45,102
1.5,91
1.55,95
1.6,92
1.65,87
1.7,80
1.75,85
1.8,89
1.85,80
1.9,85
1.95,82
2,84
2.05,83
2.1,78
2.15,82
2.2,84
2.25,82
2.3,91
2.35,90
2.4,83
2.45,75
2.5,73
2.55,84
2.6,79
2.65,79
2.7,85
2.75,91
2.8,96
2.85,90
2.9,89
2.95,91
3,97
3.05,94
3.1,93
3.15,92
3.2,85
3.25,77
3.3,76
3.35,70
3.4,66
3.45,56
3.5,62
3.55,70
3.6,70
3.65,82
3.7,78
3.75,85
3.8,79
3.85,80
3.9,83
3.95,73
4,77
4.05,62
4.1,65
4.15,60
4.2,62
4.25,56
4.3,58
4.35,65
4.4,60
4.45,66
4.5,69
4.55,68
4.6,69
4.65,63
4.7,69
4.75,76
4.8,75
4.85,69
4.9,69
4.95,76
5,76
