Time,X1,X2
0,50,50
1,69,42
2,98,46
3,150,42
4,221,35
5,302,74
6,392,133
7,394,259
8,265,477
9,103,564
10,46,507
11,22,412
12,20,335
13,18,262
14,16,198
15,14,148
16,11,113
17,10,84
18,16,72
19,17,58
20,23,41
21,33,33
22,61,30
23,93,25
24,151,20
25,228,25
26,333,34
27,514,64
28,664,179
29,430,597
30,112,828
31,21,712
32,8,542
33,5,412
34,4,316
35,2,232
36,2,158
37,2,108
38,1,79
39,4,51
40,3,38
