Time,X1,X2
0,50,50
1,66,47
2,106,37
3,150,39
4,211,60
5,329,79
6,457,135
7,382,364
8,179,526
9,77,520
10,18,435
11,16,346
12,9,266
13,8,213
14,4,164
15,3,131
16,1,103
17,1,84
18,1,60
19,1,44
20,6,32
21,7,24
22,15,16
23,20,11
24,35,11
25,59,11
26,82,11
27,163,12
28,255,25
29,372,38
30,548,70
31,649,249
32,357,658
33,82,787
34,23,637
35,13,487
36,7,394
37,7,284
38,2,214
39,0,164
40,0,117
