Time,X1,X2
0,50,50
1,80,39
2,120,33
3,200,43
4,301,55
5,415,98
6,513,198
7,372,476
8,148,634
9,46,594
10,18,491
11,15,361
12,16,255
13,11,192
14,5,152
15,8,111
16,12,79
17,21,67
18,22,49
19,33,34
20,55,29
21,79,27
22,110,30
23,176,24
24,283,29
25,431,41
26,562,126
27,533,396
28,230,741
29,45,767
30,11,615
31,7,469
32,5,362
33,3,263
34,4,196
35,3,150
36,2,109
37,1,81
38,1,54
39,0,42
40,0,33
