Time,X1,X2
0,50,50
1,75,44
2,116,42
3,171,43
4,251,55
5,357,98
6,438,171
7,341,376
8,202,507
9,87,536
10,49,448
11,39,338
12,25,279
13,32,227
14,23,185
15,29,140
16,41,110
17,48,96
18,62,81
19,104,71
20,152,63
21,211,69
22,298,89
23,365,161
24,357,298
25,217,489
26,94,525
27,39,466
28,19,371
29,12,270
30,10,197
31,12,155
32,22,113
33,31,92
34,40,73
35,59,58
36,86,54
37,126,51
38,185,52
39,278,60
40,368,101
