Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,445,4,46,197,114,123,81
0.666666,397,4,36,160,167,160,65
0.999999,343,4,38,130,202,190,60
1.33333,306,4,50,116,227,204,49
1.66666,273,4,42,95,259,225,38
2,244,4,52,78,275,242,39
2.33333,219,4,53,69,294,251,29
2.66666,197,4,52,56,304,264,32
3,177,4,57,53,312,267,27
3.33333,151,4,67,39,323,281,30
3.66666,142,4,58,36,328,284,28
4,133,4,53,27,332,293,33
4.33333,122,4,68,36,333,284,23
4.66666,110,4,74,32,335,288,25
5,103,4,67,25,343,295,24
5.33333,95,4,62,30,341,290,21
