Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,447,4,50,199,115,121,78
0.666666,406,4,35,162,166,158,64
0.999999,376,4,29,143,199,177,50
1.33333,327,4,42,123,233,197,36
1.66666,283,4,60,109,253,211,30
2,252,4,61,80,284,240,28
2.33333,221,4,63,59,306,261,27
2.66666,196,4,68,45,323,275,24
3,173,4,77,43,325,277,24
3.33333,158,4,75,28,336,292,28
3.66666,135,4,86,28,338,292,26
4,118,4,92,26,344,294,22
4.33333,111,4,90,25,344,295,23
4.66666,97,4,88,26,344,294,22
5,86,4,85,24,345,296,23
5.33333,78,4,90,30,345,290,17
