Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,454,4,34,192,121,128,79
0.666666,396,4,46,165,157,155,70
0.999999,362,4,33,136,204,184,52
1.33333,326,4,36,115,229,205,48
1.66666,295,4,39,104,252,216,36
2,266,4,48,94,268,226,30
2.33333,231,4,48,64,296,256,32
2.66666,198,4,58,56,304,264,32
3,179,4,56,52,319,268,21
3.33333,155,4,68,44,323,276,25
3.66666,139,4,58,41,333,279,18
4,128,4,55,36,338,284,18
4.33333,113,4,61,26,345,294,21
4.66666,101,4,67,26,347,294,19
5,97,4,62,21,352,299,19
5.33333,95,4,53,18,349,302,25
