Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,431,4,57,195,118,125,79
0.666666,380,4,52,163,170,157,59
0.999999,335,4,52,126,212,194,54
1.33333,297,4,54,106,238,214,48
1.66666,265,4,56,93,263,227,36
2,237,4,51,74,289,246,29
2.33333,211,4,63,60,300,260,32
2.66666,187,4,63,47,319,273,26
3,164,4,70,38,331,282,23
3.33333,147,4,80,34,334,286,24
3.66666,131,4,89,32,338,288,22
4,119,4,85,24,342,296,26
4.33333,104,4,88,24,348,296,20
4.66666,94,4,83,15,356,305,21
5,86,4,88,14,356,306,22
5.33333,78,4,91,18,351,302,23
