Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,445,4,51,203,112,117,77
0.666666,401,4,37,158,167,162,67
0.999999,369,4,36,136,200,184,56
1.33333,323,4,43,112,227,208,53
1.66666,284,4,48,99,256,221,37
2,260,4,46,87,274,233,31
2.33333,240,4,47,71,284,249,37
2.66666,213,4,48,51,302,269,39
3,198,4,47,51,311,269,30
3.33333,181,4,52,49,314,271,29
3.66666,165,4,58,48,316,272,28
4,152,4,60,43,323,277,26
4.33333,141,4,55,34,331,286,27
4.66666,134,4,52,38,327,282,27
5,118,4,51,35,336,285,21
5.33333,105,4,54,35,340,285,17
