Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,446,4,54,199,110,121,83
0.666666,388,4,52,153,165,167,74
0.999999,347,4,47,128,197,192,67
1.33333,308,4,54,115,222,205,55
1.66666,274,4,51,100,253,220,39
2,233,4,51,71,286,249,35
2.33333,215,4,48,68,292,252,32
2.66666,194,4,51,55,307,265,30
3,176,4,55,53,310,267,29
3.33333,153,4,61,46,321,274,25
3.66666,139,4,58,35,332,285,25
4,128,4,61,32,338,288,22
4.33333,117,4,58,21,346,299,25
4.66666,102,4,64,24,342,296,26
5,94,4,64,23,344,297,25
5.33333,81,4,69,27,338,293,27
