Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,446,4,51,193,115,127,84
0.666666,396,4,47,162,162,158,68
0.999999,352,4,39,130,204,190,58
1.33333,302,4,49,106,238,214,48
1.66666,270,4,49,93,261,227,38
2,242,4,46,73,284,247,35
2.33333,219,4,47,63,298,257,31
2.66666,198,4,56,56,303,264,33
3,181,4,53,49,312,271,31
3.33333,157,4,54,47,318,273,27
3.66666,146,4,54,52,325,268,15
4,132,4,51,44,333,276,15
4.33333,118,4,53,38,340,282,14
4.66666,106,4,53,38,337,282,17
5,94,4,57,38,334,282,20
5.33333,85,4,56,35,341,285,16
