Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,445,4,42,195,118,125,79
0.666666,393,4,45,159,164,161,69
0.999999,336,4,49,134,202,186,56
1.33333,301,4,46,115,235,205,42
1.66666,270,4,39,95,265,225,32
2,241,4,50,87,270,233,35
2.33333,216,4,48,65,297,255,30
2.66666,201,4,46,60,309,260,23
3,180,4,52,49,321,271,22
3.33333,156,4,65,48,324,272,20
3.66666,143,4,64,42,328,278,22
4,127,4,62,32,334,288,26
4.33333,122,4,60,29,333,291,30
4.66666,108,4,60,30,338,290,24
5,91,4,62,25,344,295,23
5.33333,82,4,65,25,344,295,23
