Time,X1
0,50
1,66
2,106
3,150
4,211
5,329
6,457
7,382
8,179
9,77
10,18
11,16
12,9
13,8
14,4
15,3
16,1
17,1
18,1
19,1
20,6
21,7
22,15
23,20
24,35
25,59
26,82
27,163
28,255
29,372
30,548
31,649
32,357
33,82
34,23
35,13
36,7
37,7
38,2
39,0
40,0
