Time,X1
0,50
1,80
2,120
3,200
4,301
5,415
6,513
7,372
8,148
9,46
10,18
11,15
12,16
13,11
14,5
15,8
16,12
17,21
18,22
19,33
20,55
21,79
22,110
23,176
24,283
25,431
26,562
27,533
28,230
29,45
30,11
31,7
32,5
33,3
34,4
35,3
36,2
37,1
38,1
39,0
40,0
