Time,X1
0,50
1,69
2,98
3,150
4,221
5,302
6,392
7,394
8,265
9,103
10,46
11,22
12,20
13,18
14,16
15,14
16,11
17,10
18,16
19,17
20,23
21,33
22,61
23,93
24,151
25,228
26,333
27,514
28,664
29,430
30,112
31,21
32,8
33,5
34,4
35,2
36,2
37,2
38,1
39,4
40,3
