Time,X1
0,50
1,75
2,116
3,171
4,251
5,357
6,438
7,341
8,202
9,87
10,49
11,39
12,25
13,32
14,23
15,29
16,41
17,48
18,62
19,104
20,152
21,211
22,298
23,365
24,357
25,217
26,94
27,39
28,19
29,12
30,10
31,12
32,22
33,31
34,40
35,59
36,86
37,126
38,185
39,278
40,368
