"Time","X"
0.0,250
0.05,244
0.1,242
0.15,247
0.2,258
0.25,252
0.3,249
0.35,240
0.4,249
0.45,258
0.5,262
0.55,251
0.6,287
0.65,299
0.7,306
0.75,308
0.8,298
0.85,314
0.9,338
0.95,323
1.0,303
1.05,337
1.1,351
1.15,342
1.2,324
1.25,322
1.3,307
1.35,289
1.4,278
1.45,301
1.5,306
1.55,280
1.6,274
1.65,270
1.7,251
1.75,249
1.8,235
1.85,235
1.9,224
1.95,244
2.0,245
2.05,252
2.1,246
2.15,253
2.2,253
2.25,243
2.3,243
2.35,248
2.4,235
2.45,227
2.5,223
2.55,206
2.6,205
2.65,194
2.7,185
2.75,174
2.8,175
2.85,166
2.9,177
2.95,178
3.0,183
3.05,190
3.1,188
3.15,187
3.2,202
3.25,205
3.3,207
3.35,218
3.4,226
3.45,224
3.5,219
3.55,232
3.6,227
3.65,220
3.7,220
3.75,210
3.8,219
3.85,217
3.9,228
3.95,218
4.0,218
4.05,208
4.1,195
4.15,182
4.2,184
4.25,192
4.3,183
4.35,169
4.4,170
4.45,165
4.5,146
4.55,144
4.6,151
4.65,149
4.7,155
4.75,144
4.8,139
4.85,133
4.9,138
4.95,133
5.0,122
