"Time","X"
0.0,250
0.05,249
0.1,252
0.15,251
0.2,255
0.25,245
0.3,224
0.35,231
0.4,237
0.45,236
0.5,253
0.55,271
0.6,293
0.65,282
0.7,284
0.75,292
0.8,279
0.85,285
0.9,258
0.95,272
1.0,273
1.05,273
1.1,268
1.15,268
1.2,282
1.25,284
1.3,261
1.35,260
1.4,273
1.45,257
1.5,255
1.55,273
1.6,285
1.65,278
1.7,287
1.75,299
1.8,319
1.85,309
1.9,320
1.95,309
2.0,304
2.05,314
2.1,330
2.15,327
2.2,308
2.25,314
2.3,324
2.35,353
2.4,366
2.45,360
2.5,369
2.55,399
2.6,419
2.65,442
2.7,436
2.75,437
2.8,420
2.85,440
2.9,462
2.95,438
3.0,433
3.05,445
3.1,462
3.15,480
3.2,446
3.25,440
3.3,450
3.35,451
3.4,454
3.45,433
3.5,424
3.55,433
3.6,423
3.65,431
3.7,446
3.75,455
3.8,456
3.85,476
3.9,464
3.95,475
4.0,471
4.05,480
4.1,475
4.15,504
4.2,510
4.25,542
4.3,563
4.35,576
4.4,578
4.45,575
4.5,553
4.55,564
4.6,548
4.65,522
4.7,523
4.75,512
4.8,501
4.85,514
4.9,528
4.95,567
5.0,579
