Time,X
0,250
0.05,239
0.1,235
0.15,243
0.2,245
0.25,251
0.3,258
0.35,259
0.4,257
0.45,252
0.5,256
0.55,269
0.6,272
0.65,272
0.7,262
0.75,256
0.8,246
0.85,259
0.9,247
0.95,248
1,247
1.05,256
1.1,269
1.15,281
1.2,257
1.25,254
1.3,264
1.35,255
1.4,258
1.45,262
1.5,248
1.55,250
1.6,251
1.65,252
1.7,267
1.75,266
1.8,259
1.85,248
1.9,242
1.95,234
2,216
2.05,226
2.1,222
2.15,236
2.2,238
2.25,250
2.3,255
2.35,260
2.4,259
2.45,266
2.5,267
2.55,267
2.6,277
2.65,285
2.7,286
2.75,280
2.8,299
2.85,324
2.9,332
2.95,341
3,348
3.05,348
3.1,327
3.15,368
3.2,365
3.25,351
3.3,362
3.35,392
3.4,402
3.45,421
3.5,408
3.55,436
3.6,462
3.65,465
3.7,470
3.75,467
3.8,503
3.85,524
3.9,493
3.95,495
4,527
4.05,499
4.1,510
4.15,528
4.2,535
4.25,536
4.3,542
4.35,597
4.4,597
4.45,623
4.5,616
4.55,603
4.6,556
4.65,611
4.7,599
4.75,631
4.8,600
4.85,587
4.9,573
4.95,565
5,576
