"Time","X"
0.0,250
0.05,245
0.1,244
0.15,239
0.2,256
0.25,256
0.3,264
0.35,239
0.4,223
0.45,229
0.5,219
0.55,222
0.6,246
0.65,245
0.7,259
0.75,259
0.8,287
0.85,305
0.9,289
0.95,275
1.0,279
1.05,284
1.1,270
1.15,262
1.2,276
1.25,268
1.3,276
1.35,273
1.4,272
1.45,284
1.5,300
1.55,313
1.6,311
1.65,318
1.7,317
1.75,314
1.8,317
1.85,320
1.9,330
1.95,344
2.0,347
2.05,381
2.1,389
2.15,388
2.2,397
2.25,413
2.3,421
2.35,422
2.4,442
2.45,458
2.5,440
2.55,471
2.6,465
2.65,444
2.7,432
2.75,457
2.8,438
2.85,437
2.9,436
2.95,482
3.0,475
3.05,464
3.1,525
3.15,519
3.2,514
3.25,533
3.3,521
3.35,525
3.4,550
3.45,534
3.5,528
3.55,503
3.6,490
3.65,520
3.7,565
3.75,603
3.8,562
3.85,580
3.9,555
3.95,583
4.0,584
4.05,574
4.1,571
4.15,565
4.2,549
4.25,560
4.3,578
4.35,558
4.4,525
4.45,475
4.5,476
4.55,476
4.6,477
4.65,466
4.7,467
4.75,507
4.8,542
4.85,562
4.9,532
4.95,527
5.0,509
