Time,X
0,250
0.05,245
0.1,263
0.15,286
0.2,268
0.25,285
0.3,283
0.35,295
0.4,300
0.45,300
0.5,287
0.55,281
0.6,292
0.65,325
0.7,295
0.75,311
0.8,338
0.85,363
0.9,363
0.95,365
1,344
1.05,351
1.1,341
1.15,337
1.2,347
1.25,335
1.3,345
1.35,332
1.4,331
1.45,357
1.5,343
1.55,360
1.6,390
1.65,373
1.7,391
1.75,383
1.8,396
1.85,411
1.9,428
1.95,427
2,417
2.05,422
2.1,448
2.15,469
2.2,466
2.25,452
2.3,472
2.35,486
2.4,471
2.45,472
2.5,464
2.55,452
2.6,436
2.65,460
2.7,497
2.75,540
2.8,554
2.85,539
2.9,520
2.95,531
3,514
3.05,525
3.1,552
3.15,541
3.2,542
3.25,549
3.3,558
3.35,560
3.4,616
3.45,598
3.5,571
3.55,539
3.6,506
3.65,496
3.7,472
3.75,473
3.8,479
3.85,480
3.9,503
3.95,500
4,488
4.05,509
4.1,482
4.15,495
4.2,490
4.25,530
4.3,499
4.35,515
4.4,514
4.45,531
4.5,561
4.55,543
4.6,610
4.65,606
4.7,620
4.75,606
4.8,603
4.85,578
4.9,601
4.95,548
5,541
