Time,X
0,250
0.05,267
0.1,263
0.15,268
0.2,262
0.25,255
0.3,243
0.35,232
0.4,235
0.45,231
0.5,232
0.55,238
0.6,234
0.65,244
0.7,235
0.75,249
0.8,258
0.85,263
0.9,267
0.95,283
1,286
1.05,285
1.1,295
1.15,316
1.2,302
1.25,312
1.3,305
1.35,295
1.4,313
1.45,310
1.5,300
1.55,295
1.6,285
1.65,318
1.7,315
1.75,311
1.8,315
1.85,306
1.9,299
1.95,307
2,311
2.05,333
2.1,342
2.15,341
2.2,323
2.25,323
2.3,347
2.35,351
2.4,343
2.45,361
2.5,386
2.55,390
2.6,401
2.65,398
2.7,423
2.75,475
2.8,473
2.85,515
2.9,528
2.95,560
3,571
3.05,592
3.1,605
3.15,587
3.2,579
3.25,630
3.3,606
3.35,595
3.4,588
3.45,629
3.5,616
3.55,636
3.6,667
3.65,676
3.7,640
3.75,654
3.8,609
3.85,634
3.9,647
3.95,597
4,598
4.05,561
4.1,520
4.15,516
4.2,500
4.25,502
4.3,474
4.35,505
4.4,520
4.45,553
4.5,540
4.55,563
4.6,565
4.65,560
4.7,576
4.75,557
4.8,537
4.85,555
4.9,569
4.95,561
5,551
