"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,451,4,45,197,116,123,79
0.666666,398,4,52,170,157,150,65
0.999999,359,4,50,141,198,179,53
1.33333,312,4,45,107,243,213,42
1.66666,286,4,43,99,260,221,33
2.0,250,4,47,81,279,239,32
2.33333,216,4,54,67,299,253,26
2.66666,189,4,57,53,314,267,25
3.0,169,4,63,46,325,274,21
3.33333,153,4,62,34,335,286,23
3.66666,135,4,70,30,337,290,25
4.0,120,4,72,22,344,298,26
4.33333,111,4,74,27,339,293,26
4.66666,102,4,68,28,345,292,19
5.0,90,4,69,23,347,297,22
5.33333,81,4,71,23,350,297,19
