"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,442,4,55,199,111,121,82
0.666666,405,4,42,163,157,157,72
0.999999,347,4,53,140,195,180,57
1.33333,306,4,51,109,230,211,53
1.66666,268,4,48,88,262,232,42
2.0,242,4,35,68,291,252,33
2.33333,226,4,32,64,299,256,29
2.66666,195,4,46,61,311,259,20
3.0,174,4,51,50,316,270,26
3.33333,153,4,53,36,328,284,28
3.66666,145,4,53,35,330,285,27
4.0,136,4,60,38,320,282,34
4.33333,131,4,55,34,324,286,34
4.66666,125,4,48,30,330,290,32
5.0,109,4,55,32,322,288,38
5.33333,94,4,58,30,327,290,35
