"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,448,4,31,183,124,137,85
0.666666,391,4,43,158,165,162,69
0.999999,342,4,42,127,204,193,61
1.33333,302,4,37,104,239,216,49
1.66666,283,4,35,102,256,218,34
2.0,250,4,45,82,276,238,34
2.33333,219,4,55,71,282,249,39
2.66666,196,4,53,63,300,257,29
3.0,184,4,41,56,314,264,22
3.33333,157,4,48,51,325,269,16
3.66666,145,4,47,41,336,279,15
4.0,128,4,49,36,336,284,20
4.33333,118,4,51,37,334,283,21
4.66666,107,4,54,37,329,283,26
5.0,99,4,54,40,325,280,27
5.33333,91,4,47,37,332,283,23
