"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,442,4,54,197,113,123,82
0.666666,405,4,35,161,164,159,67
0.999999,358,4,41,135,201,185,56
1.33333,305,4,53,114,235,206,43
1.66666,277,4,47,92,266,228,34
2.0,242,4,54,72,285,248,35
2.33333,216,4,50,58,308,262,26
2.66666,193,4,53,45,317,275,30
3.0,175,4,51,36,332,284,24
3.33333,158,4,60,38,337,282,17
3.66666,147,4,59,35,335,285,22
4.0,128,4,67,30,342,290,20
4.33333,124,4,58,27,349,293,16
4.66666,112,4,63,21,348,299,23
5.0,101,4,63,23,345,297,24
5.33333,97,4,58,23,345,297,24
