"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,445,4,51,194,114,126,84
0.666666,390,4,47,158,159,162,75
0.999999,352,4,39,138,200,182,54
1.33333,313,4,46,116,233,204,43
1.66666,279,4,46,95,262,225,35
2.0,250,4,52,80,279,240,33
2.33333,219,4,59,66,299,254,27
2.66666,197,4,58,49,313,271,30
3.0,176,4,58,41,328,279,23
3.33333,160,4,70,37,328,283,27
3.66666,143,4,73,38,330,282,24
4.0,135,4,64,25,344,295,23
4.33333,122,4,67,28,341,292,23
4.66666,116,4,68,23,339,297,30
5.0,110,4,63,23,343,297,26
5.33333,102,4,70,28,338,292,26
