"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,450,4,51,202,108,118,82
0.666666,404,4,41,164,160,156,68
0.999999,348,4,43,130,204,190,58
1.33333,311,4,48,105,231,215,56
1.66666,280,4,38,83,263,237,46
2.0,243,4,54,75,278,245,39
2.33333,219,4,50,65,294,255,33
2.66666,188,4,56,54,313,266,25
3.0,157,4,63,41,323,279,28
3.33333,139,4,62,31,337,289,24
3.66666,132,4,61,30,338,290,24
4.0,119,4,68,33,340,287,19
4.33333,109,4,65,29,345,291,18
4.66666,95,4,71,25,343,295,24
5.0,85,4,73,23,341,297,28
5.33333,75,4,72,24,348,296,20
