"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,442,4,39,200,116,120,76
0.666666,404,4,30,167,162,153,63
0.999999,354,4,36,141,198,179,53
1.33333,319,4,40,128,220,192,44
1.66666,282,4,42,112,247,208,33
2.0,250,4,46,100,263,220,29
2.33333,226,4,52,88,278,232,26
2.66666,201,4,45,60,306,260,26
3.0,180,4,48,49,319,271,24
3.33333,158,4,56,36,324,284,32
3.66666,142,4,57,36,328,284,28
4.0,131,4,60,36,327,284,29
4.33333,114,4,64,36,328,284,28
4.66666,101,4,57,30,334,290,28
5.0,95,4,53,32,336,288,24
5.33333,89,4,49,31,335,289,26
