"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,451,4,56,205,107,115,80
0.666666,405,4,41,158,163,162,71
0.999999,351,4,47,132,199,188,61
1.33333,311,4,52,114,228,206,50
1.66666,285,4,41,98,253,222,41
2.0,255,4,46,89,270,231,33
2.33333,231,4,41,70,290,250,32
2.66666,212,4,38,58,306,262,28
3.0,186,4,53,51,312,269,29
3.33333,164,4,55,40,325,280,27
3.66666,153,4,56,47,323,273,22
4.0,140,4,53,38,329,282,25
4.33333,126,4,59,36,331,284,25
4.66666,117,4,55,35,335,285,22
5.0,104,4,61,30,337,290,25
5.33333,92,4,59,33,340,287,19
