"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,434,4,55,195,120,125,77
0.666666,386,4,46,160,171,160,61
0.999999,336,4,51,137,205,183,50
1.33333,304,4,42,114,243,206,35
1.66666,269,4,56,92,264,228,36
2.0,245,4,50,72,288,248,32
2.33333,222,4,57,65,298,255,29
2.66666,195,4,63,48,309,272,35
3.0,174,4,65,39,322,281,31
3.33333,156,4,78,43,324,277,25
3.66666,138,4,71,26,344,294,22
4.0,125,4,74,24,344,296,24
4.33333,113,4,81,25,349,295,18
4.66666,109,4,75,24,348,296,20
5.0,98,4,75,23,342,297,27
5.33333,87,4,75,27,337,293,28
