"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,438,4,57,203,107,117,82
0.666666,398,4,35,157,165,163,70
0.999999,361,4,36,136,194,184,62
1.33333,321,4,36,115,226,205,51
1.66666,281,4,48,99,249,221,44
2.0,252,4,42,85,262,235,45
2.33333,220,4,51,76,281,244,35
2.66666,197,4,50,65,294,255,33
3.0,180,4,53,60,304,260,28
3.33333,164,4,55,59,310,261,23
3.66666,143,4,57,53,316,267,23
4.0,126,4,57,46,321,274,25
4.33333,109,4,61,39,330,281,23
4.66666,97,4,58,37,331,283,24
5.0,86,4,60,36,329,284,27
5.33333,82,4,50,29,330,291,33
