"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,459,4,44,202,110,118,80
0.666666,407,4,45,167,154,153,71
0.999999,355,4,43,131,199,189,62
1.33333,320,4,39,112,229,208,51
1.66666,292,4,42,95,248,225,49
2.0,267,4,43,82,265,238,45
2.33333,235,4,52,75,281,245,36
2.66666,198,4,62,66,294,254,32
3.0,177,4,58,56,310,264,26
3.33333,154,4,59,46,323,274,23
3.66666,136,4,60,34,333,286,25
4.0,122,4,69,38,335,282,19
4.33333,108,4,66,28,342,292,22
4.66666,97,4,65,30,337,290,25
5.0,90,4,70,32,328,288,32
5.33333,80,4,70,30,328,290,34
