"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,443,4,53,190,117,130,85
0.666666,396,4,46,160,165,160,67
0.999999,354,4,40,133,205,187,54
1.33333,317,4,39,107,239,213,46
1.66666,279,4,39,90,265,230,37
2.0,251,4,47,76,286,244,30
2.33333,223,4,60,70,290,250,32
2.66666,205,4,52,53,314,267,25
3.0,184,4,65,45,318,275,29
3.33333,172,4,65,40,322,280,30
3.66666,151,4,76,38,331,282,23
4.0,139,4,75,31,330,289,31
4.33333,123,4,80,26,332,294,34
4.66666,116,4,77,26,337,294,29
5.0,106,4,83,26,341,294,25
5.33333,101,4,76,23,340,297,29
