"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,440,4,46,190,122,130,80
0.666666,393,4,42,160,163,160,69
0.999999,351,4,39,138,201,182,53
1.33333,308,4,43,124,230,196,38
1.66666,268,4,45,99,259,221,34
2.0,240,4,43,75,287,245,30
2.33333,217,4,45,64,302,256,26
2.66666,193,4,57,65,302,255,25
3.0,172,4,53,50,320,270,22
3.33333,153,4,51,37,333,283,22
3.66666,132,4,56,29,341,291,22
4.0,115,4,56,28,348,292,16
4.33333,101,4,64,21,353,299,18
4.66666,91,4,72,21,348,299,23
5.0,87,4,69,23,349,297,20
5.33333,82,4,74,24,346,296,22
