"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,436,4,45,189,124,131,79
0.666666,387,4,47,157,173,163,62
0.999999,353,4,36,123,215,197,54
1.33333,312,4,44,111,243,209,38
1.66666,275,4,45,89,269,231,34
2.0,237,4,58,72,288,248,32
2.33333,206,4,62,57,299,263,36
2.66666,185,4,63,44,314,276,34
3.0,172,4,62,45,327,275,20
3.33333,155,4,58,34,343,286,15
3.66666,141,4,66,29,338,291,25
4.0,126,4,80,28,335,292,29
4.33333,110,4,78,25,337,295,30
4.66666,100,4,78,26,335,294,31
5.0,96,4,70,31,331,289,30
5.33333,86,4,66,34,331,286,27
