"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,458,4,43,200,111,120,81
0.666666,397,4,49,163,160,157,69
0.999999,357,4,46,133,198,187,61
1.33333,306,4,59,115,231,205,46
1.66666,271,4,51,90,261,230,41
2.0,239,4,54,70,280,250,42
2.33333,213,4,54,61,293,259,38
2.66666,186,4,60,56,303,264,33
3.0,165,4,54,42,319,278,31
3.33333,143,4,57,39,325,281,28
3.66666,132,4,60,33,326,287,33
4.0,119,4,63,33,329,287,30
4.33333,107,4,57,32,333,288,27
4.66666,101,4,61,36,329,284,27
5.0,97,4,49,32,338,288,22
5.33333,87,4,51,38,336,282,18
