"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,442,4,56,196,115,124,81
0.666666,401,4,30,159,172,161,61
0.999999,359,4,41,148,197,172,47
1.33333,318,4,48,127,229,193,36
1.66666,282,4,53,108,253,212,31
2.0,253,4,45,86,286,234,20
2.33333,218,4,53,68,302,252,22
2.66666,201,4,50,55,310,265,27
3.0,185,4,59,56,315,264,21
3.33333,156,4,68,45,324,275,23
3.66666,132,4,73,34,338,286,20
4.0,123,4,65,23,347,297,22
4.33333,108,4,72,25,351,295,16
4.66666,95,4,78,26,351,294,15
5.0,87,4,76,22,349,298,21
5.33333,83,4,66,17,354,303,21
