"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,449,4,48,198,111,122,83
0.666666,393,4,48,154,169,166,69
0.999999,353,4,34,116,214,204,62
1.33333,313,4,44,107,230,213,55
1.66666,272,4,51,90,258,230,44
2.0,252,4,50,79,267,241,46
2.33333,219,4,57,71,282,249,39
2.66666,192,4,60,57,300,263,35
3.0,165,4,61,41,315,279,36
3.33333,150,4,55,38,321,282,33
3.66666,145,4,54,43,316,277,33
4.0,130,4,62,44,316,276,32
4.33333,116,4,64,37,324,283,31
4.66666,107,4,60,37,332,283,23
5.0,99,4,59,35,339,285,18
5.33333,94,4,51,26,345,294,21
