Time,R,L,RL,G,Ga,Gbg,Gd
0,500,4,110,300,2,20,90
0.333333,452,4,48,199,112,121,81
0.666666,406,4,35,163,160,157,69
0.999999,362,4,47,139,192,181,61
1.33333,329,4,36,111,225,209,56
1.66666,284,4,47,93,253,227,46
2,257,4,44,78,274,242,40
2.33333,234,4,44,72,284,248,36
2.66666,220,4,39,62,298,258,32
3,201,4,37,52,314,268,26
3.33333,173,4,47,40,326,280,26
3.66666,157,4,48,41,332,279,19
4,136,4,62,37,332,283,23
4.33333,122,4,67,38,335,282,19
4.66666,112,4,67,31,336,289,25
5,100,4,72,30,341,290,21
5.33333,91,4,74,31,340,289,21
