"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,445,4,43,191,119,129,82
0.666666,388,4,40,155,171,165,66
0.999999,339,4,37,135,211,185,46
1.33333,303,4,44,115,241,205,36
1.66666,257,4,55,86,267,234,39
2.0,223,4,57,68,288,252,36
2.33333,194,4,61,56,300,264,36
2.66666,180,4,61,53,305,267,34
3.0,158,4,62,46,315,274,31
3.33333,146,4,59,42,321,278,29
3.66666,131,4,60,35,329,285,28
4.0,121,4,63,35,329,285,28
4.33333,112,4,56,35,327,285,30
4.66666,95,4,58,29,339,291,24
5.0,81,4,57,26,345,294,21
5.33333,75,4,61,34,338,286,20
