"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,439,4,58,195,113,125,84
0.666666,387,4,54,161,162,159,69
0.999999,353,4,43,121,202,199,69
1.33333,310,4,50,102,232,218,58
1.66666,273,4,62,95,248,225,49
2.0,249,4,55,74,279,246,39
2.33333,231,4,49,65,292,255,35
2.66666,203,4,57,59,305,261,28
3.0,181,4,54,51,320,269,21
3.33333,167,4,52,40,329,280,23
3.66666,146,4,65,40,329,280,23
4.0,135,4,57,33,344,287,15
4.33333,126,4,53,26,349,294,17
4.66666,119,4,55,29,344,291,19
5.0,109,4,61,33,340,287,19
5.33333,98,4,63,35,336,285,21
