"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,444,4,38,191,124,129,77
0.666666,391,4,43,160,165,160,67
0.999999,345,4,46,136,205,184,51
1.33333,307,4,41,104,242,216,46
1.66666,271,4,53,97,258,223,37
2.0,240,4,52,83,277,237,32
2.33333,209,4,57,68,297,252,27
2.66666,184,4,59,59,308,261,25
3.0,166,4,58,45,321,275,26
3.33333,145,4,65,42,333,278,17
3.66666,119,4,76,37,337,283,18
4.0,113,4,71,29,340,291,23
4.33333,100,4,68,24,346,296,22
4.66666,89,4,72,25,343,295,24
5.0,87,4,75,31,340,289,21
5.33333,83,4,73,31,334,289,27
