"Time","R","L","RL","G","Ga","Gbg","Gd"
0.0,500,4,110,300,2,20,90
0.333333,428,4,59,193,119,127,80
0.666666,385,4,37,151,175,169,66
0.999999,332,4,40,123,215,197,54
1.33333,298,4,41,112,237,208,43
1.66666,264,4,47,97,260,223,35
2.0,239,4,40,70,282,250,40
2.33333,213,4,50,70,283,250,39
2.66666,190,4,56,64,294,256,34
3.0,178,4,47,59,305,261,28
3.33333,164,4,47,56,308,264,28
3.66666,147,4,43,47,323,273,22
4.0,135,4,52,49,320,271,23
4.33333,123,4,50,46,327,274,19
4.66666,111,4,49,40,330,280,22
5.0,107,4,47,41,325,279,26
5.33333,99,4,53,41,322,279,29
